	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	contrast
Mia2	2122.70363971821	0.136106346294728	0.112315895679279	1.21181730752861	0.225582321605023	0.416493113172946	C57BL6J_F0_Control-BALBcJ_F0_Control
Sugp2	363.658602138486	-0.0927375712462827	0.177233641119148	-0.523250386668626	0.600800021715228	0.762631305439932	C57BL6J_F0_Control-BALBcJ_F0_Control
March1	2225.01574553504	0.61973340212774	0.139342024959818	4.44756994385902	8.68471846384877e-06	0.00010565028937609	C57BL6J_F0_Control-BALBcJ_F0_Control
Vapa	1639.96166369309	-0.0607736306808445	0.114228615579966	-0.532035080459323	0.594701699021826	0.75937917715816	C57BL6J_F0_Control-BALBcJ_F0_Control
Crat	836.7242452534	0.0900071275282207	0.13535030081589	0.664993923069683	0.506054379920386	0.696676983601552	C57BL6J_F0_Control-BALBcJ_F0_Control
Skap2	1164.91399163153	-0.213605032487607	0.132845211029936	-1.60792422121616	0.107851776343725	0.253221289702021	C57BL6J_F0_Control-BALBcJ_F0_Control
Atg4c	605.802208962665	0.321004784895486	0.145092803812517	2.21241010209076	0.0269383415088018	0.0925809189791286	C57BL6J_F0_Control-BALBcJ_F0_Control
Desi1	349.028111363106	0.0397056450774201	0.17701870572328	0.224301973710558	0.82252234053496	0.90493988197817	C57BL6J_F0_Control-BALBcJ_F0_Control
Dusp3	3545.45195098337	-0.167928049523489	0.119857975369341	-1.40105861963729	0.16119654445422	0.332606825506693	C57BL6J_F0_Control-BALBcJ_F0_Control
Rhog	3115.99687869482	0.038276095576907	0.113623595532645	0.336867491276579	0.736216792637534	0.855163003754783	C57BL6J_F0_Control-BALBcJ_F0_Control
Sec11c	280.888115246309	-0.492667293093775	0.194671098931177	-2.53076751402092	0.0113813258405059	0.0483895928007653	C57BL6J_F0_Control-BALBcJ_F0_Control
Mlx	271.114482149199	-0.408947722684544	0.205383843197838	-1.99113872015055	0.0464656386338079	0.138188845358752	C57BL6J_F0_Control-BALBcJ_F0_Control
