	BALBcJ_F0_Control_BALB01C	BALBcJ_F0_Control_BALB01D	C57BL6J_F0_Control_C5701C	C57BL6J_F0_Control_C5701D	BALBcJ_F0_LPS_20210513_1a	BALBcJ_F0_LPS_20210513_1b	C57BL6J_F0_LPS_20210513_2b	C57BL6J_F0_LPS_20210513_2c	BALBcJ_F1_Control_cb61a	BALBcJ_F1_Control_cb61b	BALBcJ_F1_Control_cb61c	BALBcJ_F1_Control_cb61d	C57BL6J_F1_Control_cb61a	C57BL6J_F1_Control_cb61b	C57BL6J_F1_Control_cb61c	C57BL6J_F1_Control_cb61d	BALBcJ_F1_LPS_cb61a	BALBcJ_F1_LPS_cb61b	BALBcJ_F1_LPS_cb62a	BALBcJ_F1_LPS_cb62b	BALBcJ_F1_LPS_cb62c	C57BL6J_F1_LPS_cb61a	C57BL6J_F1_LPS_cb61b	C57BL6J_F1_LPS_cb62a	C57BL6J_F1_LPS_cb62b	C57BL6J_F1_LPS_cb62c
Mia2	2540	2014	2234	1774	1049	458	411	548	124	99	153	100.5	123.5	99	158	96.5	28.5	10.5	37.5	23.5	29	28.5	10.5	39.5	23.5	25
Abraxas1	68	76	57	51	50	12	14	12	2	5	5	4.5	2	4	7	1.5	0	0	0	0.5	0	0	0	0	0.5	0
Sugp2	492	359	322	306	298	86	228	176	296	315.5	276.5	223	271	319.5	298.5	230.5	75.5	71.5	95.5	60	84	150	92.5	73.5	105.5	96
March1	2106	1792	2947	1978	6203	1936	3201	3236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mob3b	229	130	145	81	165	62	43	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810034E14Rik	8	17	17	16	0	2	0	1	36	51.5	60	19	41.5	31.5	61	43.5	0	0	0	0	0	0	11	0	0	0
Vapa	2079	1693	1569	1314	4219	1260	1609	1363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grik2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cacnb2	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crat	974	843	825	724	303	91	101	91	92	98.5	135	83.5	90.5	86.5	126.5	111	20.5	6	20	21	16.5	6	20	6	12.5	10.5
Akr1c14	3	5	2	1	21	9	6	24	11	10	2	4.5	8.5	11.5	6	0	3.5	0.5	0	6.5	4.5	15	0.5	0	5.5	13
Skap2	1609	1225	1112	830	1613	512	789	790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
