	BALBcJ_F0_Control_BALB01C	BALBcJ_F0_Control_BALB01D	C57BL6J_F0_Control_C5701C	C57BL6J_F0_Control_C5701D	BALBcJ_F0_LPS_20210513_1a	BALBcJ_F0_LPS_20210513_1b	C57BL6J_F0_LPS_20210513_2b	C57BL6J_F0_LPS_20210513_2c	BALBcJ_F1_Control_cb61a	BALBcJ_F1_Control_cb61b	BALBcJ_F1_Control_cb61c	BALBcJ_F1_Control_cb61d	C57BL6J_F1_Control_cb61a	C57BL6J_F1_Control_cb61b	C57BL6J_F1_Control_cb61c	C57BL6J_F1_Control_cb61d	BALBcJ_F1_LPS_cb61a	BALBcJ_F1_LPS_cb61b	BALBcJ_F1_LPS_cb62a	BALBcJ_F1_LPS_cb62b	BALBcJ_F1_LPS_cb62c	C57BL6J_F1_LPS_cb61a	C57BL6J_F1_LPS_cb61b	C57BL6J_F1_LPS_cb62a	C57BL6J_F1_LPS_cb62b	C57BL6J_F1_LPS_cb62c
Mia2	57.602	56.337	65.975	60.326	18.307	26.229	16.08	23.782	9.543	6.9	9.917	7.943	9.14	6.621	9.877	7.334	2.583	0.927	2.874	2.336	1.964	2.404	0.865	2.81	2.17	1.587
Abraxas1	2.813	3.878	3.07	3.163	1.592	1.253	0.999	0.95	0.281	0.636	0.591	0.649	0.27	0.488	0.798	0.208	0	0	0	0.091	0	0	0	0	0.084	0
Sugp2	12.383	11.145	10.554	11.548	5.772	5.466	9.9	8.477	25.282	24.404	19.89	19.56	22.258	23.715	20.708	19.441	7.593	7.008	8.124	6.62	6.315	14.04	8.459	5.802	10.813	6.762
March1	55.064	57.794	100.343	77.55	124.812	127.831	144.392	161.912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mob3b	3.912	2.739	3.226	2.075	2.169	2.675	1.267	1.079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810034E14Rik	0.458	1.2	1.266	1.372	0	0.289	0	0.109	6.989	9.054	9.81	3.788	7.747	5.314	9.619	8.339	0	0	0	0	0	0	2.286	0	0	0
Vapa	130.859	131.442	128.608	124.02	204.362	200.28	174.723	164.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grik2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cacnb2	0	0	0.102	0.039	0	0	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crat	22.901	24.448	25.26	25.526	5.482	5.403	4.097	4.094	7.341	7.118	9.072	6.842	6.944	5.998	8.198	8.746	1.926	0.549	1.589	2.164	1.159	0.525	1.709	0.443	1.197	0.691
Akr1c14	0.127	0.261	0.11	0.063	0.683	0.961	0.438	1.942	1.578	1.299	0.242	0.663	1.173	1.434	0.699	0	0.591	0.082	0	1.205	0.568	2.359	0.077	0	0.947	1.538
Skap2	101.961	95.752	91.766	78.869	78.66	81.935	86.259	95.801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atg4c	21.623	21.698	28.624	26.378	3.653	3.777	2.468	3.298	56.553	48.616	51.069	67.935	53.851	43.057	50.953	53.776	1.169	5.318	7.748	6.842	2.04	1.995	3.072	4.896	11.322	4.732
Tsks	0	0.07	0.074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dand5	3.871	4.463	2.959	2.524	0.648	0.212	0	0.322	10.566	10.344	6.494	10.117	9.199	9.182	13.569	4.794	0	3.113	0	0	0	0	0	1.716	0.514	0.589
Tiam1	0.184	0.28	0.277	0.149	1.396	0.895	2.103	1.736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desi1	15.007	14.511	16.623	13.968	7.089	6.273	6.309	4.951	11.708	10.126	10.009	11.001	7.149	7.631	10.603	10.579	3.929	3.09	7.987	5.066	6.234	3.464	3.008	5.248	4.004	5.841
Bcr	1.912	2.164	1.07	0.877	0.657	0.479	0.436	1.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp3	122.94	106.136	103.307	101.089	52.087	53.674	78.285	52.401	1.497	1.695	2.593	1.751	0.88	1.916	2.264	1.561	0.882	0.811	0.58	1.666	0.183	2.325	0.757	0.538	1.398	0.343
Pou5f1-rs6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgax	2.732	3.37	2.383	3.478	11.385	8.721	5.336	7.645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apod	0	0	0.13	0	0	0	0	0.191	0	0	0	0	0	0	0	0	0	0	1.096	0	0	0	0	0	0.406	0
Trmt10a	2.173	1.98	0.868	0.703	0.912	1.621	0.554	1.087	3.268	3.642	2.858	4.216	2.216	1.456	2.246	2.772	1.677	1.538	0.876	5.412	2.544	2.525	1.794	1.355	6.083	1.347
Taar9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnnt3	0	0	0.133	0.765	0	0	0	0	0	0.157	0	0.178	0	0.151	0	0	0	0	0	0	0.305	0	0	0	0	0.286
Rhog	326.214	298.005	319.09	326.025	556.704	434.383	512.912	392.623	1442.176	1250.313	1353.549	1355.64	1468.364	1194.769	1331.224	1314.123	1753.178	2151.189	1773.064	1618.303	1585.029	1818.608	1944.237	1562.913	1550.992	1538.431
Ncam1	0	0.018	0.019	0.022	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0
Sec11c	56.183	55.64	43.441	34.023	29.933	29.672	26.329	22.485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppfia2	0.032	0.02	0	0	0.025	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nipal1	0.441	0.363	0.032	0.147	2.736	3.034	0.381	0.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abca4	0	0.053	0	0	0	0	0	0.109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2900026A02Rik	0.144	0.315	0.27	0.215	0.184	0.201	0.275	0.305	0.054	0	0.41	0	0.208	0	0.044	0.107	0	0	0	0.14	0	0	0	0	0	0
Fkbp14	3.277	3.224	1.626	0.76	1.171	1.084	0.202	0.373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mlx	21.316	19.509	17.323	12.722	20.394	18.516	13.372	11.325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kbtbd3	1.009	1.352	1.142	0.986	0	0.221	0.227	0.336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc74b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam126b	3.896	3.687	4.62	4.378	1.745	1.028	1.144	0.69	0.474	0.447	0.249	0.263	0.095	0.034	0.224	0.019	0	0	0	0.102	0.104	0	0.254	0.219	0	0.098
Gm48908	0.33	0.244	1.118	0.99	0.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhdc9	2.591	1.721	3.807	5.479	1.687	2.684	0.802	1.526	4.171	5.309	5.697	11.693	16.152	9.307	9.34	13.248	4.911	4.01	3.705	9.319	4.068	7.536	6.638	3.543	5.682	7.437
Patl2	0	0	0.278	0	0	0	0	0	0	0	0.366	0.223	0	0	0.47	0.5	0	0	0	0	0	0	0	0	0	0
Asb12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp51	1.047	2.087	1.783	2.658	2.728	2.441	1.668	2.698	0.683	0.928	1.382	1.825	2.037	1.01	1.443	1.147	0.08	0	0	0.265	1.143	0	0	0.442	0.41	0.564
Fubp3	17.951	16.498	19.075	14.575	11.043	11.829	9.762	11.554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wac	27.968	28.703	29.452	27.731	28.143	26.029	24.655	25.679	67.368	57.445	67.333	65.729	61.709	52.611	59.963	56.728	54.094	49.824	44.918	62.472	31.764	42.94	42.959	32.206	53.154	29.427
Grb14	0.053	0.326	0.206	0.396	0	0.133	0.456	1.213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tagln2	63.019	58.992	68.812	63.859	180.972	133.629	314.548	269.839	203.453	183.673	217.67	211.412	224.463	227.246	238.593	223.36	518.869	460.211	470.635	368.77	351.323	607.091	709.497	580.227	530.958	437.036
Ipp	5.617	4.458	3.435	3.589	1.654	1.357	0.506	0.093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L3mbtl3	4.366	4.461	7.495	8.2	0.747	1.002	1.37	1.266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpl	0	0	0.046	0	0	0	0.061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sarm1	0.839	0.69	0.858	1.108	0.108	0.151	0.034	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rubcnl	4.335	4.191	8.494	8.902	9.167	13.512	22.64	33.408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itpr3	18.105	16.575	16.343	10.991	3.743	2.357	3.261	2.691	20.161	22.207	24.77	23.937	17.488	16.62	22.03	20.971	2.763	3.433	3.33	2.93	2.048	2.55	2.052	2.458	3.262	1.983
Rab24	35.561	34.421	30.56	29.782	24.25	18.633	23.258	10.935	24.946	25.49	23.786	30.452	31.411	25.852	36.701	33.28	14.187	10.478	10.594	20.914	18.725	16.403	18.242	22.97	20.108	21.659
Ces2f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gramd1a	54.515	55.968	57.361	62.125	354.854	324.952	367.875	344.428	250.053	225.656	257.696	243.815	220.545	191.705	225.097	210.056	1465.146	1622.679	1415.893	1671.745	1388.996	1394.002	1481.819	1308.157	1536.714	1218.093
D630041G03Rik	0	0	0.994	0	0	0	0.293	0.433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Picalm	437.634	380.788	375.764	372.877	500.365	605.905	433.776	573.242	796.656	768.972	781.644	718.046	732.847	691.631	737.781	673.064	1098.278	1066.466	1136.511	1300.188	793.474	1071.939	1053.926	1034.021	1223.472	716.63
Naa30	9.146	10.047	12.183	12.249	12.411	11.637	11.925	9.976	14.295	13.089	15.333	15.938	15.076	12.457	17.288	14.351	13.902	9.017	4.444	8.365	9.037	9.478	9.301	7.154	9.999	5.894
Nenf	45.774	53.346	34.532	35.976	21.5	24.315	22.602	9.364	217.477	241.091	252.417	257.441	177.964	197.142	256.696	215.818	129.921	155.507	62.149	83.028	128.474	82.476	130.184	74.76	90.954	94.53
Cd34	0.552	0.292	0.205	0.059	0.121	0	0.136	1.358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb13	0	0	0	0.042	0	0	0	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tubgcp3	18.368	15.198	18.966	15.879	13.196	12.761	11.853	10.811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Teddm1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brk1	160.221	159.548	128.239	130.532	138.849	109.439	98.709	73.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zc3hav1	33.991	37.92	38.378	36.386	80.221	86.679	103.003	164.282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bpifa3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tacc1	30.094	28.171	34.724	29.382	28.07	18.289	14.938	14.999	3.213	2.808	2.857	3.184	2.225	1.777	2.774	3.439	1.084	0.335	1.119	1.625	0.692	1.945	0.361	1.121	1.671	1.019
Mbip	11.137	11.702	13.787	10.721	8.835	8.159	7.709	5.262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clpsl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rgs9	0.257	0.601	1.145	1.257	1.02	1.298	2.846	2.562	0	0	0.058	0	0	0	0.056	0	0	0	0	0	0	0	0	0	0	0
Spock1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdk3-ps	0.362	0.268	0.472	0.326	0.335	0	0.125	0.277	0.738	0.557	1.036	2.905	0.237	1.176	0.2	3.036	0	0	2.205	0	0	0	1.448	2.046	0	0
Kctd15	0	0	0.03	0.14	0.054	0.118	0.121	0.134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp804b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pggt1b	14.351	14.674	22.328	19.424	13.602	13.352	15.898	15.249	34.54	38.128	46.902	45.934	39.007	46.612	46.793	50.752	31.312	16.913	35.867	33.524	21.659	26.897	14.614	37.789	28.068	16.541
Clcn2	1.422	0.982	1.703	1.62	0.219	0.574	0.442	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adam26b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3gl3	0	0	0	0	0	0	0	0	0	0.097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ovgp1	1.475	1.213	1.494	1.29	0.158	0.621	0.848	0.392	3.406	2.266	2.342	3.07	2.941	2.719	1.92	1.922	1.064	0.479	0.138	0	0	0	0	1.157	0.667	0
Adcy6	3.258	3.892	0.67	0.849	1.597	1.689	0.533	0.525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc10a2	0	0.031	0.099	0	0	0	0	0.145	0	0	0	0	0	0.074	0	0	0	0	0	0	0.038	0	0	0	0	0.035
Crhr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pmepa1	3.184	3.647	0.948	1.296	2.1	2.642	1.099	2.437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnn4	0	0	0.138	0.795	0	0.134	0	0	0	0	0.152	0.185	0.346	0	0.877	0	0	0	0	0	0	0	0	0	0	0
Lrp2bp	0.06	0.037	0.039	0.136	0	0	0.104	0.231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
